colors_num,generations_num,mut_prob,cross_prob,inv_prob,selection_function,crossover_function
15,1676,0.125,0.3,0.15,rank_selection,two_point_crossover
15,1495,0.125,0.3,0.15,tournament_selection,uniform_crossover
15,1749,0.125,0.7,0.05,rank_selection,two_point_crossover
15,1640,0.125,0.7,0.05,tournament_selection,single_point_crossover
15,1533,0.125,0.7,0.075,rank_selection,single_point_crossover
15,1322,0.125,0.7,0.15,rank_selection,uniform_crossover
15,1861,0.15,0.3,0.05,rank_selection,two_point_crossover
15,1582,0.15,0.3,0.05,tournament_selection,uniform_crossover
15,1626,0.15,0.7,0.075,rank_selection,single_point_crossover
16,2225,0.125,0.3,0.1,roulette_wheel_selection,uniform_crossover
16,1562,0.125,0.3,0.1,tournament_selection,uniform_crossover
16,1844,0.125,0.3,0.125,rank_selection,two_point_crossover
16,2147,0.125,0.7,0.05,roulette_wheel_selection,two_point_crossover
16,1655,0.125,0.7,0.075,roulette_wheel_selection,uniform_crossover
16,1409,0.125,0.7,0.1,rank_selection,two_point_crossover
16,1154,0.125,0.7,0.125,rank_selection,two_point_crossover
16,1607,0.15,0.3,0.1,rank_selection,uniform_crossover
16,1752,0.15,0.3,0.1,tournament_selection,single_point_crossover
16,1587,0.15,0.3,0.1,tournament_selection,two_point_crossover
16,1492,0.15,0.3,0.125,tournament_selection,single_point_crossover
16,1377,0.15,0.7,0.15,tournament_selection,single_point_crossover
17,1816,0.125,0.3,0.1,rank_selection,single_point_crossover
17,1586,0.125,0.3,0.15,tournament_selection,single_point_crossover
17,1482,0.125,0.7,0.05,tournament_selection,two_point_crossover
17,2406,0.125,0.7,0.075,roulette_wheel_selection,single_point_crossover
17,1459,0.125,0.7,0.075,tournament_selection,two_point_crossover
17,1378,0.125,0.7,0.125,tournament_selection,single_point_crossover
17,1535,0.125,0.7,0.15,rank_selection,single_point_crossover
17,2503,0.15,0.3,0.075,roulette_wheel_selection,single_point_crossover
17,1709,0.15,0.3,0.1,rank_selection,two_point_crossover
17,1579,0.15,0.3,0.15,rank_selection,single_point_crossover
17,1537,0.15,0.3,0.15,tournament_selection,two_point_crossover
17,1305,0.15,0.7,0.05,tournament_selection,single_point_crossover
17,1444,0.15,0.7,0.125,roulette_wheel_selection,uniform_crossover
17,1300,0.15,0.7,0.15,tournament_selection,two_point_crossover
